d_name,d_email,d_phone,d_funds_allocated,d_yearly_budget
Gastroenterology and Emergency Center,gastroenterology_and_emergency_center@example.com,9082287968.0,108483,1567024
Psychiatry and Surgery Unit,psychiatry_and_surgery_unit@example.com,5102013432.0,175085,1356629
Infectious Diseases Clinic,infectious_diseases_clinic@example.com,1661697872.0,67537,1042211
Ophthalmology and Obstetrics Division,ophthalmology_and_obstetrics_division@example.com,7607065740.0,163642,1356855
Psychiatry and Ophthalmology Ward,psychiatry_and_ophthalmology_ward@example.com,3068815684.0,196385,1362545
Urology Institute,urology_institute@example.com,8203528774.0,53440,1249844
Psychiatry Clinic,psychiatry_clinic@example.com,3263126944.0,137469,1581041
Immunology Ward,immunology_ward@example.com,6720179052.0,73195,544219
Anesthesiology and Pediatrics Center,anesthesiology_and_pediatrics_center@example.com,6535119399.0,185787,1093830
Neonatology Center,neonatology_center@example.com,1810939924.0,199095,1980406
Neurology and Trauma Department,neurology_and_trauma_department@example.com,1279325164.0,197581,675088
Hematology Center,hematology_center@example.com,4175923598.0,59598,692818
Neonatology and Cardiology Ward,neonatology_and_cardiology_ward@example.com,6614638197.0,69742,1378735
Neonatology and Urology Institute,neonatology_and_urology_institute@example.com,5129822209.0,119891,999848
Orthopedics Department,orthopedics_department@example.com,2388198252.0,123529,936315
Infectious Diseases Department,infectious_diseases_department@example.com,2383600833.0,153808,1407133
Neurology and Rheumatology Division,neurology_and_rheumatology_division@example.com,9264286398.0,180176,1707813
Infectious Diseases and Rheumatology Clinic,infectious_diseases_and_rheumatology_clinic@example.com,2103653455.0,116471,625153
Neonatology and Pulmonology Department,neonatology_and_pulmonology_department@example.com,5680202432.0,100446,678217
Neurology and Rehabilitation Division,neurology_and_rehabilitation_division@example.com,8253356872.0,91686,1104486
Pediatrics Clinic,pediatrics_clinic@example.com,4930252350.0,126775,947362
Pediatrics and Ophthalmology Division,pediatrics_and_ophthalmology_division@example.com,4263608670.0,70396,1105847
Surgery Ward,surgery_ward@example.com,4085075201.0,156598,1393394
Ophthalmology and Pediatrics Ward,ophthalmology_and_pediatrics_ward@example.com,5357848917.0,110920,1127588
Obstetrics and Oncology Center,obstetrics_and_oncology_center@example.com,7929102753.0,174957,680689
Hematology and Dermatology Department,hematology_and_dermatology_department@example.com,8543465729.0,161852,824234
Gynecology and Pediatrics Institute,gynecology_and_pediatrics_institute@example.com,1033534725.0,95205,1793454
Rheumatology and Pediatrics Department,rheumatology_and_pediatrics_department@example.com,9800876996.0,103003,1623858
Hematology and Nephrology Unit,hematology_and_nephrology_unit@example.com,5744085354.0,189539,1394056
Cardiology and Pediatrics Ward,cardiology_and_pediatrics_ward@example.com,5800726301.0,130665,771559
Anesthesiology and Nephrology Division,anesthesiology_and_nephrology_division@example.com,7975264650.0,89615,1849811
Anesthesiology and Dermatology Institute,anesthesiology_and_dermatology_institute@example.com,4992838294.0,156401,874009
Obstetrics Division,obstetrics_division@example.com,8793419117.0,65021,1126274
Hematology Ward,hematology_ward@example.com,3813729397.0,153100,1149892
Anesthesiology and Gynecology Division,anesthesiology_and_gynecology_division@example.com,3204503122.0,118011,1032206
Immunology and Trauma Division,immunology_and_trauma_division@example.com,8413078888.0,77965,660975
Anesthesiology and Pediatrics Division,anesthesiology_and_pediatrics_division@example.com,1066166233.0,54761,914561
Trauma and Neonatology Unit,trauma_and_neonatology_unit@example.com,9029216811.0,103924,650480
Orthopedics and Urology Division,orthopedics_and_urology_division@example.com,9073423315.0,175122,1216070
Endocrinology and Rehabilitation Clinic,endocrinology_and_rehabilitation_clinic@example.com,4766372483.0,162657,1414204
Rheumatology Institute,rheumatology_institute@example.com,5916412228.0,123713,1727802
Cardiology Division,cardiology_division@example.com,4044375038.0,60425,847846
Rheumatology and Radiology Institute,rheumatology_and_radiology_institute@example.com,1180413381.0,81366,1699316
Radiology and Pathology Institute,radiology_and_pathology_institute@example.com,5754634890.0,148003,1250922
Gynecology Clinic,gynecology_clinic@example.com,5940185839.0,181275,1600808
Obstetrics and Anesthesiology Unit,obstetrics_and_anesthesiology_unit@example.com,2871214863.0,137843,1167824
Infectious Diseases and Orthopedics Center,infectious_diseases_and_orthopedics_center@example.com,3018275451.0,79563,978214
Oncology Department,oncology_department@example.com,6473239228.0,98983,1227063
Ophthalmology Department,ophthalmology_department@example.com,6697394526.0,182009,1262060
Immunology and Anesthesiology Unit,immunology_and_anesthesiology_unit@example.com,4544645926.0,70762,1930217
Neurology and Endocrinology Department,neurology_and_endocrinology_department@example.com,2670971863.0,115767,1069301
Urology and Obstetrics Institute,urology_and_obstetrics_institute@example.com,9477681911.0,67304,1323667
Hematology Institute,hematology_institute@example.com,7425560493.0,85999,1583786
Immunology Institute,immunology_institute@example.com,2013132404.0,191707,1135600
Orthopedics Unit,orthopedics_unit@example.com,7361868076.0,195150,1864647
Trauma Clinic,trauma_clinic@example.com,1177712427.0,107336,1043844
Neurology and Emergency Institute,neurology_and_emergency_institute@example.com,7591249741.0,131331,1654139
Obstetrics and Ophthalmology Department,obstetrics_and_ophthalmology_department@example.com,9557481643.0,78836,550259
Neurology Center,neurology_center@example.com,5309994035.0,176088,841508
Trauma and Pulmonology Institute,trauma_and_pulmonology_institute@example.com,3713898179.0,167806,533383
Emergency Division,emergency_division@example.com,8484780769.0,162569,1907667
Obstetrics Ward,obstetrics_ward@example.com,5397099633.0,109623,1696538
Surgery Clinic,surgery_clinic@example.com,9643223139.0,148035,1596156
Gynecology Institute,gynecology_institute@example.com,9282567573.0,51006,1250375
Neonatology and Pediatrics Division,neonatology_and_pediatrics_division@example.com,4136446913.0,156303,1949581
Pediatrics Center,pediatrics_center@example.com,3178056131.0,191519,1275432
Infectious Diseases and Surgery Department,infectious_diseases_and_surgery_department@example.com,6849550596.0,149725,1698373
Radiology and Emergency Center,radiology_and_emergency_center@example.com,9201551705.0,71741,740034
Neonatology and Psychiatry Clinic,neonatology_and_psychiatry_clinic@example.com,3095799705.0,130410,1636115
Radiology Unit,radiology_unit@example.com,8935411098.0,66625,1670201
Pulmonology and Radiology Clinic,pulmonology_and_radiology_clinic@example.com,7416291168.0,57361,1844280
Gastroenterology and Infectious Diseases Institute,gastroenterology_and_infectious_diseases_institute@example.com,5200137813.0,140059,1115640
Trauma and Dermatology Ward,trauma_and_dermatology_ward@example.com,5258588201.0,115328,1881855
Nephrology Clinic,nephrology_clinic@example.com,5762760218.0,186580,1200779
Obstetrics and Pulmonology Ward,obstetrics_and_pulmonology_ward@example.com,6025750769.0,115048,1997597
Emergency Ward,emergency_ward@example.com,3933587130.0,59394,1726484
Pathology Division,pathology_division@example.com,4297748085.0,55531,572153
Rehabilitation and Endocrinology Clinic,rehabilitation_and_endocrinology_clinic@example.com,5199980767.0,176935,1963406
Neonatology and Obstetrics Clinic,neonatology_and_obstetrics_clinic@example.com,4072106252.0,74025,903661
Oncology and Ophthalmology Clinic,oncology_and_ophthalmology_clinic@example.com,8434269776.0,110053,1409054
Pulmonology Institute,pulmonology_institute@example.com,9954908535.0,140880,1872426
Surgery and Psychiatry Ward,surgery_and_psychiatry_ward@example.com,6786537118.0,125408,1554552
Rheumatology and Pathology Department,rheumatology_and_pathology_department@example.com,2454542056.0,148504,1866151
Pathology and Anesthesiology Department,pathology_and_anesthesiology_department@example.com,6882007229.0,86873,749233
Immunology Department,immunology_department@example.com,7443828224.0,170652,986626
Surgery Institute,surgery_institute@example.com,2742488158.0,102190,605920
Nephrology Institute,nephrology_institute@example.com,8748375763.0,110182,1635433
Neonatology and Hematology Institute,neonatology_and_hematology_institute@example.com,6286325176.0,163445,708372
Anesthesiology Institute,anesthesiology_institute@example.com,9106770938.0,198484,1415077
Urology Unit,urology_unit@example.com,6791595056.0,137675,1603502
Urology and Rheumatology Division,urology_and_rheumatology_division@example.com,8936448171.0,62450,629237
Rehabilitation and Infectious Diseases Unit,rehabilitation_and_infectious_diseases_unit@example.com,2033353505.0,134730,1479676
Surgery Division,surgery_division@example.com,7093352600.0,50661,1993117
Trauma and Anesthesiology Center,trauma_and_anesthesiology_center@example.com,1254853245.0,134220,1437127
Oncology and Trauma Center,oncology_and_trauma_center@example.com,6913362274.0,189175,1151819
Anesthesiology and Gastroenterology Department,anesthesiology_and_gastroenterology_department@example.com,4343467287.0,187404,649736
Oncology and Emergency Center,oncology_and_emergency_center@example.com,3138494085.0,105570,1816791
Pediatrics Ward,pediatrics_ward@example.com,5026132870.0,130899,1609488
Rehabilitation Institute,rehabilitation_institute@example.com,7253868234.0,188183,1863776
Anesthesiology and Trauma Institute,anesthesiology_and_trauma_institute@example.com,3225934259.0,167980,1386864
Pediatrics and Obstetrics Ward,pediatricsandobstetricsward@example.com,849-851-0897x26807,159214,608244
Oncology Unit,oncologyunit@example.com,001-548-883-0045x79097,159747,899438
Rheumatology Department,rheumatologydepartment@example.com,388-767-7698x701,93879,1783210
Psychiatry and Infectious Diseases Clinic,psychiatryandinfectiousdiseasesclinic@example.com,467.466.2320,104555,1105736
Anesthesiology Ward,anesthesiologyward@example.com,526-527-9865,189566,1600245
Obstetrics and Immunology Institute,obstetricsandimmunologyinstitute@example.com,+1-779-691-6346x54588,152687,1968948
Pediatrics and Cardiology Ward,pediatricsandcardiologyward@example.com,6296760707,95653,1953682
Pediatrics and Radiology Ward,pediatricsandradiologyward@example.com,+1-927-694-2402x0420,99759,1427225
Hematology and Anesthesiology Department,hematologyandanesthesiologydepartment@example.com,737-530-2979x73070,119425,1245831
Rheumatology Unit,rheumatologyunit@example.com,(476)818-3554,99180,1994472
Pediatrics Institute,pediatricsinstitute@example.com,435-358-3172x02479,80086,623874
Rehabilitation Ward,rehabilitationward@example.com,573-352-3932x39469,89430,1192182
Radiology Institute,radiologyinstitute@example.com,765-757-9477x054,173857,1297135
Ophthalmology Institute,ophthalmologyinstitute@example.com,(506)756-4702x76619,73354,1145788
Gastroenterology and Rheumatology Department,gastroenterologyandrheumatologydepartment@example.com,984.276.1703x94226,172977,630396
Infectious Diseases Ward,infectiousdiseasesward@example.com,317.696.2989,73463,1126371
Infectious Diseases Division,infectiousdiseasesdivision@example.com,450.566.7432x0843,108797,906910
Trauma Department,traumadepartment@example.com,975-818-9814x38264,121467,998587
Oncology Center,oncologycenter@example.com,+1-906-877-8824x3068,175658,1372178
Cardiology Department,cardiologydepartment@example.com,453-788-1041x1216,164177,1461310
Radiology and Infectious Diseases Unit,radiologyandinfectiousdiseasesunit@example.com,529.961.5190x088,61773,1465253
Endocrinology Clinic,endocrinologyclinic@example.com,5999650902,60919,1795968
Trauma and Dermatology Center,traumaanddermatologycenter@example.com,(382)687-8986x96720,141575,1841765
Immunology and Endocrinology Department,immunologyandendocrinologydepartment@example.com,(780)604-9443x614,154682,990084
Immunology and Ophthalmology Unit,immunologyandophthalmologyunit@example.com,269.439.4625x36992,132051,1010562
Infectious Diseases Unit,infectiousdiseasesunit@example.com,9549325174,192757,1984358
Urology Ward,urologyward@example.com,663-341-2063,50808,1407469
Immunology Unit,immunologyunit@example.com,343.277.9836,176359,1933570
Oncology and Orthopedics Unit,oncologyandorthopedicsunit@example.com,561.663.8061,113992,600145
Pulmonology Division,pulmonologydivision@example.com,+1-271-741-7358x976,129088,607967
Oncology Institute,oncologyinstitute@example.com,731-453-3644x2312,89476,1463009
Gynecology Center,gynecologycenter@example.com,423-442-8822,78841,1243263
Rheumatology and Dermatology Ward,rheumatologyanddermatologyward@example.com,759-532-8536x761,104872,1920394
Endocrinology and Nephrology Center,endocrinologyandnephrologycenter@example.com,(491)793-9993,87125,1553386
Psychiatry and Nephrology Department,psychiatryandnephrologydepartment@example.com,616-826-7897,133951,1135371
Anesthesiology and Urology Division,anesthesiologyandurologydivision@example.com,(272)726-7898,97108,851192
Obstetrics Department,obstetricsdepartment@example.com,599-826-4853x694,53168,977198
Orthopedics and Pediatrics Center,orthopedicsandpediatricscenter@example.com,(700)297-3706x360,88821,564129
Cardiology and Hematology Clinic,cardiologyandhematologyclinic@example.com,001-648-208-3506x336,118228,968771
Pathology and Orthopedics Unit,pathologyandorthopedicsunit@example.com,(561)582-8717,192078,1394203
Oncology and Radiology Unit,oncologyandradiologyunit@example.com,001-287-868-7974,115177,712278
Pediatrics and Dermatology Division,pediatricsanddermatologydivision@example.com,+1-848-376-3230,192578,1231545
Orthopedics and Neonatology Clinic,orthopedicsandneonatologyclinic@example.com,001-610-275-3601,151143,1893920
Infectious Diseases and Hematology Center,infectiousdiseasesandhematologycenter@example.com,994.810.6698x3363,70699,1762359
Rheumatology and Orthopedics Unit,rheumatologyandorthopedicsunit@example.com,001-493-510-8004,54289,1758155
Rheumatology Division,rheumatologydivision@example.com,(716)226-4484,54326,1602012
Endocrinology and Ophthalmology Division,endocrinologyandophthalmologydivision@example.com,001-894-205-0107,112508,891857
Orthopedics and Infectious Diseases Department,orthopedicsandinfectiousdiseasesdepartment@example.com,(365)223-8354x22087,83004,671894
Emergency and Pediatrics Unit,emergencyandpediatricsunit@example.com,+1-219-799-7301x69652,155108,1328968
Hematology and Cardiology Clinic,hematologyandcardiologyclinic@example.com,(819)367-3068x09123,138654,558028
Pediatrics and Nephrology Ward,pediatricsandnephrologyward@example.com,+1-969-611-7972,93030,1328772
Radiology and Rehabilitation Department,radiologyandrehabilitationdepartment@example.com,357-761-2434x320,166100,862674
Orthopedics and Rehabilitation Ward,orthopedicsandrehabilitationward@example.com,836-424-6576x8587,185474,645693
Emergency and Cardiology Clinic,emergencyandcardiologyclinic@example.com,+1-482-969-8907x01607,136914,1015801
Ophthalmology and Pathology Unit,ophthalmologyandpathologyunit@example.com,528-967-7950x00130,65198,1831658
Neonatology Unit,neonatologyunit@example.com,001-895-942-6808,192134,581359
Immunology and Radiology Department,immunologyandradiologydepartment@example.com,8439285626,182419,859804
Nephrology Unit,nephrologyunit@example.com,466-989-7011,166843,642165
