donation_id,d_date,d_amount,d_method,donor_id,p_id
1,2022-10-03,18701,cash,291,289
2,2022-04-24,97008,standing_order,428,118
3,2021-08-29,29026,standing_order,231,327
4,2022-08-14,60710,standing_order,309,132
5,2023-11-03,70973,standing_order,297,192
6,2024-08-07,93098,credit_card,396,312
7,2022-06-23,47288,standing_order,474,152
8,2024-10-25,9853,cash,354,211
9,2023-10-09,90242,cash,248,374
10,2025-02-14,39055,check,392,398
11,2021-07-07,37282,credit_card,329,133
12,2024-07-25,27350,check,236,252
13,2022-08-14,17956,bank_transfer,224,167
14,2021-07-28,71089,check,298,328
15,2022-08-10,95156,bank_transfer,341,111
16,2023-09-26,79979,standing_order,445,213
17,2021-08-03,77391,credit_card,347,252
18,2024-10-21,76363,standing_order,330,322
19,2022-10-09,27155,credit_card,248,130
20,2022-08-23,92564,standing_order,444,37
21,2021-10-12,7620,cash,335,262
22,2023-05-19,56879,check,271,16
23,2021-11-13,60465,check,382,161
24,2024-07-19,85401,check,367,12
25,2022-07-03,20460,check,402,328
26,2024-06-20,87344,bank_transfer,404,174
27,2021-08-07,66254,standing_order,222,208
28,2021-11-02,74386,check,335,282
29,2024-03-21,86167,cash,200,111
30,2024-10-29,46793,bank_transfer,354,86
31,2022-07-19,80215,cash,340,355
32,2024-05-02,97036,cash,387,67
33,2022-11-09,53188,bank_transfer,400,120
34,2022-05-18,35634,bank_transfer,218,63
35,2022-05-16,28882,cash,243,346
36,2023-08-01,92933,bank_transfer,429,228
37,2024-12-03,68898,credit_card,425,50
38,2024-02-05,87503,bank_transfer,328,354
39,2024-01-26,3203,check,319,332
40,2021-09-09,52595,credit_card,382,51
41,2022-09-06,31397,check,242,18
42,2023-06-23,91409,standing_order,318,272
43,2023-06-04,79894,cash,259,225
44,2024-11-10,12304,standing_order,359,120
45,2023-02-04,36717,credit_card,270,348
46,2022-12-17,80960,credit_card,446,319
47,2025-01-13,36180,cash,443,91
48,2022-09-30,66774,check,222,173
49,2023-09-26,56378,standing_order,323,47
50,2021-09-15,95510,cash,208,103
