e_name,e_date,e_location,e_funds_raised
Healthcare Workers Tribute Event,2/11/2024,University Medical Auditorium,131831.3
Cancer Awareness Marathon,6/30/2020,University Medical Auditorium,84342.82
Cancer Awareness Marathon,10/22/2020,Health & Wellness Expo Center,108285.36
Children'sHospital Fundraiser,2/18/2025,University Medical Auditorium,105644.6
COVID-19 Relief Benefit,12/9/2020,City Hospital Conference Hall,161715.17
Free Vaccination Outreach,1/10/2023,City Park Open Grounds,196975.78
Free Vaccination Outreach,3/28/2022,City Hospital Conference Hall,115461.83
Pediatric Care Gala,5/19/2020,Metro Grand Hotel,154389.81
Cancer Awareness Marathon,11/10/2023,University Medical Auditorium,82653.96
Annual Donor Appreciation Gala,2/1/2025,University Medical Auditorium,131426
Medical Research Grant Fundraiser,1/1/2025,Sunrise Event Pavilion,86289.73
Trauma Center Development Fundraiser,1/25/2025,Health & Wellness Expo Center,151022.23
COVID-19 Relief Benefit,12/20/2023,Grandview Hotel Banquet Room,154352.81
Cancer Awareness Marathon,12/10/2020,City Park Open Grounds,69241.81
Emergency Response Fundraiser,11/9/2022,Health & Wellness Expo Center,137785.85
Surgical Equipment Drive,1/25/2022,Metro Grand Hotel,79707.44
Community Blood Drive,11/4/2020,Riverside Charity Hall,199667.74
Mental Health Awareness Concert,12/26/2023,City Hospital Conference Hall,150395.46
Free Vaccination Outreach,3/3/2021,Sunrise Event Pavilion,112476.01
Charity Health Fair,6/12/2020,University Medical Auditorium,110473.4
Community Blood Drive,8/22/2023,Health & Wellness Expo Center,175118.31
Children's Hospital Fundraiser,5/2/2024,Riverside Charity Hall,35434.12
Surgical Equipment Drive,8/7/2022,City Park Open Grounds,53253.1
Hospital Benefit Dinner,10/27/2020,Health & Wellness Expo Center,96596.25
Advanced Cancer Treatment Research Dinner,4/9/2024,Riverside Charity Hall,141244.87
Healthcare Workers Tribute Event,9/20/2023,Health & Wellness Expo Center,67300.65
Elderly Care Support Auction,12/1/2022,University Medical Auditorium,87500.86
Hospital Expansion Telethon,9/24/2022,National Convention Center,91205.94
Community Blood Drive,11/2/2020,University Medical Auditorium,155816.87
Healthcare Workers Tribute Event,8/31/2022,City Hospital Conference Hall,61340.34
Children'sHospital Fundraiser,1/3/2025,Riverside Charity Hall,87240.81
Hospital Benefit Dinner,1/5/2024,National Convention Center,19504.09
Elderly Care Support Auction,10/25/2022,Riverside Charity Hall,53152.5
COVID-19 Relief Benefit,4/13/2024,Metro Grand Hotel,151145.72
Advanced Cancer Treatment Research Dinner,12/23/2021,Health & Wellness Expo Center,89968.25
Hospital Expansion Telethon,3/19/2022,City Park Open Grounds,174771.6
Hospital Expansion Telethon,6/9/2020,Downtown Community Center,95296.64
Hospital Expansion Telethon,11/8/2024,Health & Wellness Expo Center,104877.23
Mental Health Awareness Concert,10/24/2022,National Convention Center,184202.03
Cardiology Research Walkathon,4/20/2023,City Park Open Grounds,169795.76
Free Vaccination Outreach,5/11/2023,Riverside Charity Hall,61947.73
Emergency Response Fundraiser,3/20/2025,Downtown Community Center,44796.25
Medical Research Grant Fundraiser,7/15/2023,Riverside Charity Hall,8716.26
Community Blood Drive,1/21/2025,University Medical Auditorium,157921.11
Children's Hospital Fundraiser,9/7/2022,City Hospital Conference Hall,172926.97
Mental Health Awareness Concert,6/13/2023,Sunrise Event Pavilion,22360.93
Children's Hospital Fundraiser,3/11/2021,City Hospital Conference Hall,69941.04
COVID-19 Relief Benefit,6/8/2020,Grandview Hotel Banquet Room,133536.31
Medical Research Grant Fundraiser,10/5/2021,Grandview Hotel Banquet Room,103709.86
Trauma Center Development Fundraiser,6/4/2021,City Hospital Conference Hall,116353.14
Pediatric Care Gala,8/30/2022,Sunrise Event Pavilion,16218
Pediatric Care Gala,6/7/2022,National Convention Center,179556.36
Children's Hospital Fundraiser,1/1/2024,Sunrise Event Pavilion,72793.06
Cancer Awareness Marathon,5/27/2023,Metro Grand Hotel,48329.69
COVID-19 Relief Benefit,5/24/2022,University Medical Auditorium,88000.7
Elderly Care Support Auction,1/13/2023,City Park Open Grounds,91433.17
Pediatric Care Gala,1/20/2024,University Medical Auditorium,105513.48
Neonatal Care Charity Ball,3/25/2025,University Medical Auditorium,122008.25
Children'sHospital Fundraiser,5/19/2021,University Medical Auditorium,152823.4
Charity Health Fair,1/19/2025,City Park Open Grounds,166629.56
Mental Health Awareness Concert,3/22/2025,Downtown Community Center,42915.88
Charity Health Fair,5/2/2024,Health & Wellness Expo Center,84576.35
Trauma Center Development Fundraiser,9/1/2020,Sunrise Event Pavilion,55618.8
Medical Research Grant Fundraiser,7/4/2022,Health & Wellness Expo Center,84690.48
Medical Research Grant Fundraiser,1/1/2023,University Medical Auditorium,82531.87
Pediatric Care Gala,10/22/2020,University Medical Auditorium,163737.18
Hospital Expansion Telethon,10/17/2022,Riverside Charity Hall,26267.48
Advanced Cancer Treatment Research Dinner,4/29/2020,Riverside Charity Hall,190026.73
Cancer Awareness Marathon,4/27/2024,Metro Grand Hotel,76702.28
Cardiology Research Walkathon,8/22/2021,City Hospital Conference Hall,93687.88
Pediatric Care Gala,5/20/2022,Grandview Hotel Banquet Room,97373.67
Charity Health Fair,8/7/2022,Downtown Community Center,190983.52
Hospital Benefit Dinner,9/21/2022,Grandview Hotel Banquet Room,144570.94
Free Vaccination Outreach,10/22/2024,National Convention Center,67468.74
Annual Donor Appreciation Gala,9/13/2024,Riverside Charity Hall,103678.59
Elderly Care Support Auction,12/30/2022,University Medical Auditorium,95385.86
Free Vaccination Outreach,9/1/2023,City Hospital Conference Hall,10007.03
Charity Health Fair,11/13/2023,Downtown Community Center,163547.06
Hospital Expansion Telethon,9/20/2024,University Medical Auditorium,75093.16
Elderly Care Support Auction,10/10/2021,Grandview Hotel Banquet Room,101521.77
Hospital Benefit Dinner,1/5/2025,Grandview Hotel Banquet Room,30290.05
Elderly Care Support Auction,8/19/2020,Grandview Hotel Banquet Room,77961.58
Annual Donor Appreciation Gala,12/19/2020,Sunrise Event Pavilion,145334.32
Pediatric Care Gala,8/25/2023,Sunrise Event Pavilion,123999.23
Healthcare Workers Tribute Event,4/4/2020,Sunrise Event Pavilion,38496.11
Annual Donor Appreciation Gala,2/17/2021,Metro Grand Hotel,82956.97
Pediatric Care Gala,2/7/2023,City Park Open Grounds,12739.28
Community Blood Drive,2/10/2021,University Medical Auditorium,56460.22
